date,location,event,participants_on_record,source_urls,notes,deep_search_event,deep_search_notes
2008-06-30,Palm Beach FL,State plea and sentencing (Florida),Jeffrey Epstein; State of Florida,https://www.britannica.com/biography/Jeffrey-Epstein,Outcome of Florida case; controversial NPA context.,pending,
2008-07-01,Palm Beach FL,Registered sex offender status reports begin (state),State of Florida,https://www.palmbeachpost.com/story/news/2019/07/11/jeffrey-epstein-sex-offender-status/1589767007/,Registry status anchor referenced by reputable outlets.,pending,
2008-07-01,Palm Beach FL,Sex offender registry status begins to be publicly referenced in reporting,State of Florida,https://www.palmbeachpost.com/story/news/2019/07/11/jeffrey-epstein-sex-offender-status/1589767007/,Registry status anchor referenced by outlets.,pending,
2008-08-01,Palm Beach FL,Registry reporting and local monitoring post-plea,State of Florida,https://www.palmbeachpost.com/story/news/2019/07/11/jeffrey-epstein-sex-offender-status/1589767007/,Registry status context anchor.,pending,
2010-03-19,Palm Beach FL,Det. Joseph Recarey deposition (later produced in 2016 discovery),Det. Joseph Recarey; counsel,(uploaded doc),Production letter references GIUFFRE005614–GIUFFRE006279.,pending,
2010-06-01,Santa Fe NM (Zorro Ranch),Property portfolio coverage includes New Mexico ranch,Jeffrey Epstein (owner),https://www.nytimes.com/2019/07/12/us/jeffrey-epstein-properties.html,Property list anchor.,pending,
2010-08-01,New Mexico (Zorro Ranch),Media references to property portfolio including New Mexico ranch,Jeffrey Epstein (property owner),https://www.nytimes.com/2019/07/12/us/jeffrey-epstein-properties.html,Property list reporting; presence as owner.,pending,
2010-12-05,New York NY (Central Park),Candid photographs document walk,Prince Andrew; Jeffrey Epstein,https://www.vanityfair.com/style/2021/05/prince-andrew-jeffrey-epstein-photos-central-park,Presence-only visual anchor.,pending,
2010-12-05,New York NY (Central Park),Getty/Wire: Long‑lens Photos of Public Walk,Prince Andrew; Jeffrey Epstein,https://www.vanityfair.com/style/2021/05/prince-andrew-jeffrey-epstein-photos-central-park,Use this as proxy title; add Getty set title/ID when retrieved.,pending,
2010-12-05,New York NY (Central Park),Long‑lens photographs document public walk,Prince Andrew; Jeffrey Epstein,https://www.vanityfair.com/style/2021/05/prince-andrew-jeffrey-epstein-photos-central-park,Presence-only visual anchor.,pending,
2010-12-05,New York NY (Central Park),Photographs of walk in the park,Prince Andrew; Jeffrey Epstein,https://www.vanityfair.com/style/2021/05/prince-andrew-jeffrey-epstein-photos-central-park;https://www.townandcountrymag.com/society/money-and-power/a30396153/prince-andrew-jeffrey-epstein-central-park-photos/,Presence-only photo anchor.,pending,
2011-01-01,Constanța Romania,Romanian Angels aid efforts begin (EHLY),Erika Frantzve (Kirk); Everyday Heroes Like You; Antonio Placement Center,https://www.arizonafoothillsmagazine.com/features/az-giving/6169--az-giving-spotlight-erika-frantzve-of-everyday-heroes-like-you.html,Interview references 'past two years' active by 2012; places start ≈2010–2011.,pending,
2011-09-01,Cambridge MA,MIT Media Lab internal emails later reveal Epstein donations; event appearances with guests described,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Donations controversy; reporting references 'guests' described as Eastern European models (no specific nationalities named).,pending,
2011-09-15,Cambridge MA,Tech reporting details Media Lab donations/visits; describes 'Eastern European models' guests,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Guest descriptor appears in reporting; no specific nationalities named.,pending,
2011-12-01,Cambridge MA,MIT Media Lab donations controversy begins to surface; internal emails later public,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Donations/guest appearances discussed; no specific nationalities identified.,pending,
2011-12-15,Cambridge MA,MIT Media Lab: internal email chronology later disclosed,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Donations and visits controversy; presence of 'guests' described.,pending,
2011-12-31,Constanța Romania,Romanian media report donations to orphanage/hospital (2011–2015),Everyday Heroes Like You volunteers,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/;https://www.politifact.com/factchecks/2024/aug/06/instagram-posts/no-evidence-that-erika-frantzve-kirk-was-banned-fr/,Media-documented donations; presence/year window.,pending,
2012-01-20,Constanța Romania,Romanian Angels/EHLY visit coverage in Romanian press (early 2012),Erika Frantzve (Kirk); EHLY,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Local media item documenting orphanage donations/visits.,pending,
2012-05-01,Las Vegas NV / Phoenix AZ,Miss Arizona USA 2012; Miss USA participation,Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Erika_Kirk,Title year anchor.,pending,
2012-06-03,Las Vegas NV,Miss USA 2012 broadcast (Erika Frantzve competes),Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Miss_USA_2012,Broadcast anchor.,pending,
2012-06-03,Las Vegas NV,Miss USA 2012 telecast,Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Miss_USA_2012,Broadcast date anchor.,pending,
2012-06-03,Las Vegas NV,Miss USA 2012 telecast (Erika Frantzve competes as Miss Arizona USA),Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Miss_USA_2012,Broadcast date anchor.,pending,
2012-10-10,Constanța Romania,Local coverage of Romanian Angels/EHLY visit and donations,EHLY volunteers; Antonio Placement Center,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Use as documentation of activity window 2011–2015.,pending,
2012-10-15,Constanța Romania,Local reports: Romanian Angels/EHLY donations to Antonio Placement Center,EHLY; Antonio Placement Center,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Documented activity window (2011–2015).,pending,
2013-03-01,New York NY,Ongoing media profiles noting Epstein’s residences and travel,Jeffrey Epstein (subject),https://www.nytimes.com/2019/07/12/us/jeffrey-epstein-properties.html,Residence portfolio recap anchor.,pending,
2014-01-02,Constanța Romania,Follow‑up Romanian press on donations to orphanage/hospital,EHLY volunteers,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Local press anchor; repeat visits referenced.,pending,
2014-01-15,Constanța Romania,Local press item: continued Romanian Angels/EHLY donations,EHLY volunteers; Antonio Placement Center,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Use as documentation of activity window.,pending,
2014-06-01,Constanța Romania,Romanian media report donations to orphanage/hospital,Everyday Heroes Like You volunteers,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Media-documented donations; presence window 2011–2015.,pending,
2014-07-01,Constanța Romania,Follow-on Romanian media item: donations and hospital support,EHLY; local hospital,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Press item; context anchor.,pending,
2014-12-30,New York NY,Court filings (Giuffre v. Maxwell) initial civil action timeframe,Virginia Giuffre; Ghislaine Maxwell,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Docket index anchor for case existence (not content).,pending,
2015-01-03,London / New York,Renewed international media coverage of accusations (2015 wave),News organizations,https://www.bbc.com/news/uk-30664060,Media cycle anchor; no determinations implied.,pending,
2015-01-04,UK,BBC coverage: allegations resurface widely,BBC News,https://www.bbc.com/news/uk-30664060,Media cycle anchor.,pending,
2015-01-10,Email (UK/US legal PR),Maxwell email re legal/press risk ('press hell'),Ghislaine Maxwell (sender); advisers (recipients),(uploaded doc),Fear of defamation exposure; mentions TerraMar footer.,pending,
2015-01-10,UK/US (email),Maxwell internal email re 'press hell' (as unsealed later),Ghislaine Maxwell,(uploaded doc),From unsealed civil bundle; timing anchor for PR/legal posture.,pending,
2016-05-20,New York NY,Civil discovery scheduling discussions ahead of June depositions,Counsel of record,(uploaded doc),Pre-hearing procedural anchor from unsealed materials.,pending,
2016-06-07,New York NY (575 Lexington Ave),Scheduled civil deposition per subpoena (AO 88A),Sigrid S. McCawley (issuing counsel); deponents (various),(uploaded doc),Boies Schiller Flexner address and date are on the subpoena.,pending,
2016-06-17,Fort Lauderdale FL (counsel letter),Production of PBPD deposition + incident report,Boies Schiller Flexner; Haddon Morgan & Foreman,(uploaded doc),Confirms specific bates ranges and materials.,pending,
2016-06-17,New York NY,"Counsel letter listing produced materials incl. PBPD deposition, incident report",Boies Schiller Flexner; Haddon Morgan & Foreman,(uploaded doc),Discovery production specifics; date anchor.,pending,
2017-11-30,New York NY,Press pieces revisit case history and associates (pre-2019 arrest),Various media outlets,https://www.nytimes.com/2019/07/06/nyregion/jeffrey-epstein-arrested.html,Pre-arrest context piece.,pending,
2019-07-06,New York NY,Arrest announced; SDNY press & wire coverage,DOJ; SDNY,https://www.reuters.com/world/us/jeffrey-epstein-arrest-2019-07-07/,Arrest anchor.,pending,
2019-07-06,New York NY,Arrest; SDNY charges announced,U.S. Attorney SDNY; DOJ,https://www.reuters.com/world/us/jeffrey-epstein-arrest-2019-07-07/,Arrest anchor; presence of press/court officers.,pending,
2019-07-06,New York NY,SDNY announces arrest; initial court appearance coverage,U.S. Attorney SDNY; DOJ,https://www.reuters.com/world/us/jeffrey-epstein-arrest-2019-07-07/,Wire copy anchor around arrest.,pending,
2019-07-07,New York NY (Federal Court),Reuters Gallery: Arrest/Initial Appearance – Specific Gallery URL,Reuters photojournalists,https://www.reuters.com/world/us/,Replace with specific gallery/asset slug or ID,pending,Add gallery slug/ID; list photographer bylines; caption sample
2019-07-07,New York NY (Federal Court),Reuters Photo Set: Epstein Arrest/Initial Appearance Coverage,Reuters photojournalists,https://www.reuters.com/world/us/,Wire gallery anchor; add specific photo set slug/ID when retrieved.,pending,
2019-07-08,New York NY,Bail memo / detention reporting day-after-arrest,SDNY; press pool,https://www.reuters.com/world/us/,Coverage anchor adjacent to detention hearings.,pending,
2019-07-10,New York NY (Federal Court),Detention/bail proceedings covered by wire services,SDNY; court officers; defense,https://www.reuters.com/world/us/,Ongoing hearing day anchor.,pending,
2019-07-10,New York NY (Federal Court),Reuters Gallery: Detention/Bail Proceedings – Specific Gallery URL,Reuters photojournalists,https://www.reuters.com/world/us/,Replace with specific gallery/asset slug or ID,pending,Add gallery slug/ID; list photographer bylines; caption sample
2019-07-10,New York NY (Federal Court),Reuters Photo Set: Detention/Bail Proceedings,Reuters photojournalists,https://www.reuters.com/world/us/,Wire gallery anchor; add specific photo set slug/ID when retrieved.,pending,
2019-07-11,New York NY,Bail/detention filings and press reports continue,SDNY; press pool,https://www.reuters.com/world/us/,Ongoing hearing coverage.,pending,
2019-07-15,New York NY (Federal Court),Detention hearing coverage,SDNY; Judge; defense counsel; media,https://www.reuters.com/article/us-people-epstein/;https://www.reuters.com/world/us/,Hearing day photo/video anchors.,pending,
2019-07-15,New York NY (Federal Court),Detention hearing; wire photography/video,SDNY; court officers; defense,https://www.reuters.com/world/us/,Hearing day coverage.,pending,
2019-07-18,New York NY,Judge orders detention pending trial (reported),U.S. District Court SDNY,https://www.reuters.com/world/us/,Detention decision coverage anchor.,pending,
2019-07-18,New York NY (Federal Court),Judge orders detention pending trial (reported),U.S. District Court SDNY,https://www.reuters.com/world/us/,Detention decision coverage.,pending,
2019-07-20,Little St. James USVI,Reuters aerial photo set published,Reuters photojournalists,https://www.reuters.com/world/americas/,High‑res island geography for scene setting.,pending,
2019-07-20,Little St. James USVI,Reuters Aerial Photo Set: Island Facilities/Topography (Marco Bello),Reuters (Marco Bello),https://www.reuters.com/world/americas/,Wire gallery anchor; add specific asset ID when retrieved.,pending,
2019-07-20–2019-08-20,Little St. James USVI,Reuters aerial/documentation packages,Reuters photojournalists,https://www.reuters.com/world/us/;https://www.reuters.com/world/americas/,High-res island scene geography.,pending,
2019-07-20,Little St. James USVI,Reuters Aerials: Island Facilities/Topography – Specific Gallery URL,Reuters (Marco Bello),https://www.reuters.com/world/americas/,Replace with specific gallery/asset slug or ID,pending,Add asset ID; record caption keywords; link related copy
2019-07-22,New York NY (Federal Court),Further hearing coverage and filings reported,SDNY; press pool,https://www.reuters.com/world/us/,Wire coverage anchor.,pending,
2019-07-31,New York NY (MCC / court),Ongoing filings and media coverage; additional wire sets,SDNY; BOP (institutional),https://www.reuters.com/world/us/,Late-July coverage anchor.,pending,
2019-08-10,New York NY,BOP statement on in-custody death released to press,Bureau of Prisons,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial event anchor.,pending,
2019-08-10,New York NY (MCC),BOP statement on custodial death; ABC/Reuters coverage,BOP,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial event anchor.,pending,
2019-08-10,New York NY (MCC),BOP statement on in‑custody death; media coverage,Bureau of Prisons,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial event anchor.,pending,
2019-08-10,New York NY (MCC),Death in custody reported by BOP,Bureau of Prisons,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial death anchor.,pending,
2019-08-10,New York NY (MCC),Reuters/ABC Coverage: BOP Statement on In‑Custody Death,Bureau of Prisons; press pool,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847;https://www.reuters.com/world/us/,Event coverage anchor; add specific wire gallery titles when retrieved.,pending,
2019-11-16,London UK (BBC),BBC Newsnight interview airs,Prince Andrew; BBC Newsnight,https://www.bbc.com/news/uk-50449339,Broadcast date anchor.,pending,
2019-11-17,London UK,Post-interview coverage and public statements,Buckingham Palace (institutional),https://www.theguardian.com/uk-news/2019/nov/17/prince-andrew-epstein-bbc-interview-reaction,Immediate reaction coverage anchor.,pending,
2020-07-02,New Hampshire,Arrest of Ghislaine Maxwell (DOJ press release),Ghislaine Maxwell; DOJ,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-arrested-and-charged,Criminal case initiation against Maxwell.,pending,
2020-07-02,New Hampshire / SDNY,Arrest of Ghislaine Maxwell; initial SDNY proceedings,Ghislaine Maxwell; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-arrested-and-charged,DOJ press release; proceeding anchor.,pending,
2020-07-02,New Hampshire / SDNY,Ghislaine Maxwell arrested; DOJ press release and subsequent SDNY proceeding,Ghislaine Maxwell; DOJ,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-arrested-and-charged,Arrest announcement anchor.,pending,
2021-11-29,SDNY (NYC),Ghislaine Maxwell criminal trial opens,U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial start anchor.,pending,
2021-11-29,SDNY (NYC),Ghislaine Maxwell trial opens (media + docket),U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial start anchor.,pending,
2021-11-29,SDNY (NYC),Maxwell criminal trial opens,U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial opening anchor.,pending,
2021-11-29,SDNY (NYC),Start of Ghislaine Maxwell criminal trial,U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial opening anchor.,pending,
2021-12-29,SDNY (NYC),Ghislaine Maxwell guilty verdict,DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor.,pending,
2021-12-29,SDNY (NYC),Ghislaine Maxwell guilty verdict (DOJ),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor.,pending,
2021-12-29,SDNY (NYC),Jury verdict finding Maxwell guilty on multiple counts,U.S. v. Ghislaine Maxwell; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor (DOJ press release).,pending,
2021-12-29,SDNY (NYC),Maxwell guilty verdict (DOJ release),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor.,pending,
2022-06-28,SDNY (NYC),Ghislaine Maxwell sentencing,SDNY; Ghislaine Maxwell,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-conspiring-entice-minors-travel-engage,Sentencing anchor (DOJ press release).,pending,
2022-06-28,SDNY (NYC),Ghislaine Maxwell sentencing (DOJ),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-conspiring-entice-minors-travel-engage,Sentencing anchor.,pending,
2022-06-28,SDNY (NYC),Maxwell sentencing (DOJ release),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-conspiring-entice-minors-travel-engage,Sentencing anchor.,pending,
2023-12-18,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1315 – Order summarizing particularized review; 14‑day stay for Does to appeal,U.S. District Court SDNY; Judge Loretta A. Preska,https://www.nysd.uscourts.gov/sites/default/files/2024-01/15cv7433%2001032023%20115pm%20%281%29.pdf,Pre-unsealing order that set stage for Jan 2024 releases.,pending,Cross-check ECF number and text on CourtListener; add direct docket URL.
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1321 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Placeholder to capture next sequential entry after 1320; add direct entry URL/title once verified.,pending,"Confirm title, filing type, and PDF link on the docket; capture filing time."
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1322 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Placeholder for sequential entry; add direct permalink and description.,pending,"Record filer (party/court), document type, and any sealing notes."
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1323 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Placeholder for sequential entry; to be resolved with verified details.,pending,"Add PDF filename, page count, and short abstract."
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1324 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Placeholder for sequential entry; to be resolved with verified details.,pending,Note if related to Jan 3 order (follow‑on directives or filings).
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1325 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Placeholder for sequential entry; to be resolved with verified details.,pending,Add direct entry URL once located; capture any striking/errata notices.
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1326 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Sequential placeholder following 1325; add verified entry URL/title.,pending,"Confirm description, filer, and any sealing/redaction notes."
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1327 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Sequential placeholder; replace with direct permalink upon verification.,pending,"Capture PDF filename, page count, and abstract."
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1328 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Sequential placeholder; to be resolved with details.,pending,Note relation (if any) to Jan 3 order or subsequent directives.
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1329 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Sequential placeholder; update once verified.,pending,"Record filer, document type, and filing time."
2024-01,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",ECF 1330 – (Post‑unsealing entry; exact title TBD),U.S. District Court SDNY,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Sequential placeholder; update once verified.,pending,Add direct entry URL; capture any strike/errata notices.
